"Association_detail","Description"
67,"Compare the result (dry) to the result (wet) - Wet"
68,"Compare the result (dry) to the result (wet) - Dry"
69,"Compare without and with ventilation (Low and High flow rate) - Without"
70,"Compare without and with ventilation (Low and High flow rate) - Low"
71,"Compare without and with ventilation (Low and High flow rate) - High"
72,"Compare without and with LEV, Wind speed <ou = 1 - With"
73,"Compare without and with LEV, Wind speed <ou = 1 - Without"
74,"Compare without and with LEV, Wind speed > 1 - With"
75,"Compare without and with LEV, Wind speed > 1 - Without"
76,"Compare without and with the use of ventilation - Without"
77,"Compare withoutand with the use of ventilation - With"
78,"Compare without control or with the use of ventilation or water - Ventilation"
79,"Compare without control or with the use of ventilation or water - Water"
80,"Compare without control or with the use of ventilation or water - Without"
81,"d = With dust shroud Dustless Drill Kit (Tiger-Vac, Plattsburgh, NY) and small vacuum (114 cfm) Porter-Cable model #7812"
82,"Dust suppressor installed 2 m from machine (60 000 cfm) + four water jets"
83,"Dust suppressor installed 30 m from machine (100 000 cfm) + two water jets"
84,"e = With dust shroud Dustless Drill Kit (Tiger-Vac, Plattsburgh, NY) and large vacuum (188 cfm) Dustcontrol model DC3700C"
85,"Low flow water jet on cylinder"
86,"Low flow water jet on cylinder - Compare the averages of a to averages of b"
87,"High flow water jet on cylinder"
88,"High flow water jet on cylinder - Compare the averages of a to averages of b"
89,"Machine with exhaust on asphalt waste recuperation and enclosure of conveyor belt"
90,"Machine with no extra control measures"
91,"Wetting of surface to be grinded"
92,"No exhaust on grinder"
93,"No local exhaust on tool"
94,"Sawing of wetted new pavement"
95,"Sawing of wetted old pavement"
96,"Nylon cyclone (1,7 litres / minute)"
97,"Aluminum cyclone(2,5 litres / minute)"
98,"Gravimetric analysis"
99,"Direct Reading Instrument"
100,"Compare the average of the ID1A with the average of the ID1B"
101,"Compare the average of the ID2A with the average of the ID2B"
102,"Compare the average of the ID2A with the average of the ID2B"
103,"Compare the average of the ID2A with the average of the ID2B"
